id,country_id,dimension_id,sub_dimension_id,category_id,indicator_id,level_measurement_id,measurement_unit_id,e_d_change,baseline,max_p_value,min_p_value,form_type,form_id,added_by,added_datetime,ip_address,status
61,1,3,6,21,61,2,40,0,0,1,0,2,1,1,09-09-2022 13:45,127.0.0.1,1
62,1,3,6,21,62,2,40,0,0,1,0,2,1,1,09-09-2022 13:45,127.0.0.1,1
63,1,3,6,21,63,1,40,0,0,1,0,2,1,1,09-09-2022 13:45,127.0.0.1,1
64,1,3,6,22,64,2,1,0,1,5,1,2,1,1,09-09-2022 13:45,127.0.0.1,1
65,1,3,6,23,65,1,40,1,0,1,0,2,1,1,09-09-2022 13:45,127.0.0.1,1
66,1,3,6,24,66,3,29,1,5,95,5,2,1,1,09-09-2022 13:45,127.0.0.1,1
67,1,3,6,24,67,2,16,1,5,95,5,2,1,1,09-09-2022 13:45,127.0.0.1,1
68,1,3,6,24,68,2,35,1,5,95,5,2,1,1,09-09-2022 13:45,127.0.0.1,1
69,1,3,6,25,69,1,32,1,0,1,0,2,1,1,09-09-2022 13:45,127.0.0.1,1
70,1,3,6,25,70,1,32,1,0,1,0,2,1,1,09-09-2022 13:45,127.0.0.1,1
71,1,3,6,25,71,1,40,1,0,1,0,2,1,1,09-09-2022 13:45,127.0.0.1,1
72,1,3,6,25,72,1,40,1,0,1,0,2,1,1,09-09-2022 13:45,127.0.0.1,1
73,1,3,7,26,73,2,36,1,5,95,5,2,1,1,09-09-2022 13:45,127.0.0.1,1
74,1,3,7,27,74,2,18,1,5,95,5,2,1,1,09-09-2022 13:45,127.0.0.1,1
75,1,3,7,27,75,3,8,0,0,50,0,2,1,1,09-09-2022 13:45,127.0.0.1,1
76,1,3,7,27,76,3,37,1,1,5,1,2,1,1,09-09-2022 13:45,127.0.0.1,1
77,1,3,7,28,77,3,40,0,5,95,5,2,1,1,09-09-2022 13:45,127.0.0.1,1
78,1,3,7,28,78,2,40,0,5,95,5,2,1,1,09-09-2022 13:45,127.0.0.1,1
79,1,3,7,29,79,2,29,0,5,95,5,2,1,1,09-09-2022 13:45,127.0.0.1,1
80,1,3,7,29,80,2,33,0,5,95,5,2,1,1,09-09-2022 13:45,127.0.0.1,1
81,1,3,7,30,81,2,25,0,5,95,5,2,1,1,09-09-2022 13:45,127.0.0.1,1
82,1,3,7,30,82,2,23,0,0,1,0,2,1,1,09-09-2022 13:45,127.0.0.1,1
83,1,3,7,31,83,1,27,0,5,95,5,2,1,1,09-09-2022 13:45,127.0.0.1,1
84,1,3,7,31,84,2,27,0,5,95,5,2,1,1,09-09-2022 13:45,127.0.0.1,1
85,1,3,7,31,85,1,39,1,25333200,391457475,25333200,2,1,1,09-09-2022 13:45,127.0.0.1,1
86,1,3,7,31,86,2,39,1,5,95,5,2,1,1,09-09-2022 13:45,127.0.0.1,1
87,1,3,7,31,87,2,39,1,5,95,5,2,1,1,09-09-2022 13:45,127.0.0.1,1
88,1,3,7,31,88,2,13,1,0,15,0,2,1,1,09-09-2022 13:45,127.0.0.1,1
89,1,3,7,31,89,2,21,1,0,10,0,2,1,1,09-09-2022 13:45,127.0.0.1,1
90,1,3,7,31,90,2,19,1,5,94,5,2,1,1,09-09-2022 13:45,127.0.0.1,1
91,1,1,1,2,91,2,3,0,5,95,5,2,1,1,09-09-2022 13:45,127.0.0.1,1
92,1,2,2,6,92,2,25,1,5,95,5,2,1,1,09-09-2022 13:45,127.0.0.1,1
93,1,2,2,6,93,2,25,0,6,95,6,2,1,1,09-09-2022 13:45,127.0.0.1,1
94,1,3,4,13,94,2,25,1,5,95,5,2,1,1,09-09-2022 13:45,127.0.0.1,1
95,1,3,4,14,95,1,32,1,0,1,0,2,1,1,09-09-2022 13:45,127.0.0.1,1
96,1,3,4,14,96,1,32,1,0,1,0,2,1,1,09-09-2022 13:45,127.0.0.1,1
97,2,1,1,1,1,2,3,1,5,95,5,2,1,1,09-09-2022 13:45,127.0.0.1,1
98,2,1,1,1,2,2,9,1,600,1999,600,2,1,1,09-09-2022 13:45,127.0.0.1,1
