indicator_weight_id,country_id,dimension_id,sub_dimension_id,category_id,indicator_id,indicator_weight_grazing,indicator_weight_grazing_prcnt,indicator_weight_mixed,indicator_weight_mixed_prcnt,status
156,2,3,6,24,66,1,,1,,1
157,2,3,6,24,67,1,,1,,1
158,2,3,6,24,68,1,,1,,1
159,2,3,6,25,69,0,,0,,1
160,2,3,6,25,70,0,,0,,1
161,2,3,6,25,71,0,,0,,1
162,2,3,6,25,72,0,,0,,1
163,2,3,7,26,73,1,,1,,1
164,2,3,7,27,74,1,,1,,1
165,2,3,7,27,75,1,,1,,1
166,2,3,7,27,76,1,,1,,1
167,2,3,7,28,77,1,,1,,1
168,2,3,7,28,78,1,,1,,1
169,2,3,7,29,79,1,,1,,1
170,2,3,7,29,80,1,,1,,1
171,2,3,7,30,81,2,,1,,1
172,2,3,7,30,82,0,,0,,1
173,2,3,7,31,83,0,,0,,1
174,2,3,7,31,84,0,,0,,1
175,2,3,7,31,85,0,,0,,1
176,2,3,7,31,86,0,,0,,1
177,2,3,7,31,87,0,,0,,1
178,2,3,7,31,88,1,,1,,1
179,2,3,7,31,89,1,,1,,1
180,2,3,7,31,90,1,,1,,1
181,3,1,1,1,1,1,,1,,1
182,3,1,1,1,2,1,,1,,1
183,3,1,1,2,3,1,,1,,1
184,3,1,1,2,4,1,,1,,1
185,3,1,1,2,5,0,,1,,1
186,3,2,2,3,6,2,,2,,1
187,3,2,2,3,7,2,,2,,1
188,3,2,2,3,8,2,,1,,1
189,3,2,2,4,9,1,,1,,1
190,3,2,2,5,10,2,,2,,1
191,3,2,2,5,11,1,,2,,1
192,3,2,2,5,12,2,,2,,1
193,3,2,2,6,13,1,,1,,1
194,3,2,2,6,14,1,,1,,1
195,3,2,3,7,15,1,,1,,1
196,3,2,3,7,16,1,,1,,1
197,3,2,3,7,17,1,,1,,1
198,3,2,3,7,18,1,,1,,1
199,3,2,3,8,19,2,,1,,1
200,3,2,3,8,20,2,,1,,1
201,3,2,3,9,21,1,,1,,1
202,3,3,4,10,22,1,,1,,1
203,3,3,4,11,23,1,,1,,1
204,3,3,4,11,24,1,,1,,1
205,3,3,4,11,25,1,,0,,1
206,3,3,4,12,26,1,,1,,1
